model,dataset,text,source,true_label,predicted_label,score
distilbert_sst2,human,"halo hair extensions. This halo hair extension is simply put, garbage.  Now, you get what you pay for.  And this is a very cheap version.  The faux hair is very shiny and looks literally like bad barbie hair.  It looks WAY better in the photos than in real life.  The color is horrific, in my opinion of course.  The streaks are like paint strips.  And all of that would be one thing - but the worst is that the hair completely fell out!  I had hand fulls of hair strands just trying to put the halo on!  And you might think - well, maybe a little loss is to be expected?  Except this was handfuls and handfuls.  I literally dropped the whole thing right into the trash.  I would say this one is a pass for hair loss alone.  Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",human,negative,negative,0.9996635913848877
distilbert_sst2,human,Great multi pack of bands for a great price. Great multi pack of bands for a great price. They wash well in the laundry and don't lose any elasticity,human,positive,positive,0.9982709884643555
distilbert_sst2,human,"Smells wonderful but suds sting my eyes & bar size is a joke and $$$$$$$$$$. This bar of facial soap smells wonderful, lathers well, and feels great using EXCEPT the suds sting my eyes. Also, the bar size is like those hotel travel bars. At the current price of $8, that is absolutely insane. I would not expect to purchase this for more than $2 a bar and that is even expensive for this tiny size. In addition to the price, the fact that it stings if one accidentally gets suds in their eye is also a negative.",human,negative,positive,0.9159258604049683
distilbert_sst2,human,"This really works!. At first when I saw this, I wasn't sure what this. I looked at the reviews (which were mostly positive) and thought I would give it a try. My skepticism was quickly diminished after trying this for just a few days. I typically shower every morning and I have Vitamin C and Retinol that I apply to my face. So, when I got this I put it in the freezer and followed the instructions. So, instead of just applying the serums to my face, I started using this roller along with the serums. After less than a week I noticed much less puffiness around my eyes (and I am prone to that area to have bags and puffiness). I also noticed my skin looking noticeably better overall. I think applying this roller to my skin allows the pores to absorb the serums faster and deeper. I will continue to use this going forward. I am really impressed with the results!",human,positive,positive,0.9821242690086365
distilbert_sst2,human,Quality. Adorable and hold up just fine,human,positive,positive,0.9998809099197388
distilbert_sst2,human,"Poor eye cream, acceptable lip balm.. This is far too heavy and greasy to be applied on the eyes.  It earned stars because it wasn't a total waste; it will work as a lip balm.",human,negative,negative,0.9988810420036316
distilbert_sst2,human,"A little goes a long way!. This is a really nice moisturizing lotion. It goes on lightly and is readily absorbed into my skin. My skin feels amazingly softer and smoother and allows for a nice base for my makeup to be applied over. You only need a small pea sized amount to cover your entire face and neck. Highly recommend for all skin types, ages and for women as well as men.",human,positive,positive,0.9992187023162842
distilbert_sst2,human,"Narrow headbands that are not sturdy enough to keep the masks tight to the face. There are six (6) velvet headbands with buttons in this set. Each headband is narrow at only 8-3/4"" wide and certainly not as wide as pictured on the Amazon site. Also, there are buttons on each side of the ear area. When I attach my mask to these buttons, my face mask is no longer tight to my face because the slinky velvet material moves and does not stay in place.<br /><br />Overall, I do not like these at all. They will suffice as headbands only and not for mask attachment. The current price of $11.99 comes to $2 per band but I do not feel they are worth that price at all.",human,negative,negative,0.9995760321617126
distilbert_sst2,human,"Great refreshing skin care routine!. I had never tried anything for my skin consisting of pomegranate, so I was anxious to try this. It actually is an entire skin care regimine containing a cleanser, a toner, a facial cream, an eye cream and overall moisurizers. I actually was quite surprised how well this worked from start to finish. It was nice having an entire skin care routine in one package (instead of me working with various separate products. Fragrance is light and smells almost apple-like (but very light). I particularly like the cleanser and the toner. It also comes in a beautiful gift box so this would make a wonderful gift for someone. I bought another for my mother-in-law and plan to give it to her when we visit next month. Highly recommend!",human,positive,positive,0.9992938041687012
distilbert_sst2,human,Great product. Great product,human,positive,positive,0.9998800754547119
distilbert_sst2,human,"Ummm... No. More narrow than I thought and def flimsy material. Also thought it would stick better but it didn’t. After the water starting filling the tub, they started getting lose which defeats the purpose. Total waste of $ for me.",human,negative,negative,0.9997723698616028
distilbert_sst2,human,They smell good. They are just the right size. I'm a BIG wet nap fan.  Always have been.  They smell good.  They are just the right size.  I carry them every where.  They don't leak like a bottle of hand santizer and fit in any pocket.  1000?  Yeah.  It's alot...but I'm happy to use them freely.  And quit looking for ways to pocket them at a restaurant.  :)  They arrived quickly (I have prime) and in very good shape!,human,positive,positive,0.9996521472930908
distilbert_sst2,human,This is not wj. This hair is the worst ever..all the ends came down,human,negative,negative,0.9998038411140442
distilbert_sst2,human,Pretty Color. The polish was quiet thick and did not apply smoothly. I let dry overnight before adding a second coat since it was so thick.,human,positive,negative,0.9950361847877502
distilbert_sst2,human,"Lotion-zip, too heavily scented, lip balm excellent!. I received this gift set for Christmas. My husband ordered it from Amazon. The lip balm gets 5 stars! It’s my favorite. The lotion is such a strong offensive scent that I cannot wear it. I haven’t tried the little bottle yet since the lotion is so heavily scented.",human,negative,positive,0.9611904621124268
distilbert_sst2,human,Still have stretch marks. Have yet to notice any change have been using this product for awhile now,human,negative,negative,0.9957605004310608
distilbert_sst2,human,Really nice quality. These are not what I was expecting. They are super nice quality and can almost be used as ear warmers. Vey thick and plush.  I ordered 3. One for my grand daughter and on for each of my nieces. They love them.,human,positive,positive,0.9994922876358032
distilbert_sst2,human,"Nice manicure set for men or women. This a really cute kit which would make for a great gift for someone. It is in a little leather like pouch and has everything you need to give yourself a quality manicure. The nail clipper is a perfect size and works just as well on a women or man's nails. The file is nice as well (although I still prefer to use emory boards on mine). I actually bought another one of these to give to my son as a stocking stuffer this last Christmas for him to use at college. Just a nice, quality made kit at a reasonable price.",human,positive,positive,0.9994199275970459
distilbert_sst2,human,weird sizing.. sizing is all off,human,negative,negative,0.9997525811195374
distilbert_sst2,human,Great headbands. These are nice and fit well and the masks loop in the right place to stay on your face,human,positive,positive,0.9998562335968018
distilbert_sst2,human,Great for at home use and so easy to use!. This is perfect for my between salon visits. I have been using this now twice a week for over a month and I absolutely love it! My skin looks amazing and feels super smooth and silky. This is also super easy to use (just follow instructions). I can see already that I will begin expanding the time between visits which will definitely help me save money in the long run. Highly recommend!,human,positive,positive,0.9998337030410767
distilbert_sst2,human,"Crap. These look and fit BAD.<br />Fake looking.<br />Not dentures fake- Halloween fake.<br />Plus they don't conform in your mouth. They are bulky. They require major adjustments with power tools to fit properly. These are a joke. If your getting them for a prank or to play dress up, I guess they’d do.<br />If you need a decent temporary smile that looks and feels good, go with Imako.",human,negative,negative,0.9993488192558289
distilbert_sst2,human,"clip rollers. I purchased these to see if I could set my mom's hair.  She has fine, thin, short hair and I think these could be fun once in a while for a fluffy set.  Mom is 81.  These are super old school - hoping I can do it with a little foam styling product.",human,positive,negative,0.9613397121429443
distilbert_sst2,human,"You won’t regret this purchase.. Got my new eyebrows in mail today.  Magically my baby caterpillars grew into gorgeous mama size ones.  Papa caterpillar loved the look.  And the eyebrow pen, tweezers and brow shaper templates were just an extra nice bonus!  Thank you.",human,positive,positive,0.9998350143432617
distilbert_sst2,human,Do not purchase. Terrible quality. Did not even last 18hours.,human,negative,negative,0.999452531337738
distilbert_sst2,human,"Love!. Didn’t expect much but got a nice beautiful surprise! These are nothing short of awesome. Stay on your head - no matter how big your noggin is or how much crazy hair you have. I need to buy more - my daughters have taken all!! The price, quantity and quality is nothing short of “ best deal ever”!!!!",human,positive,positive,0.9997434020042419
distilbert_sst2,human,"Got Halloween makeup kit damaged \]. I read the description and thought this was something different than it was.  I DID get what I ordered, but it is damaged and the package is open, with paint leaking.  I think this happened prior to it being packed for my order because the packing seemed fine between shipper and me. Scared will have bacteria so not using.  Not what I'd hoped to get regardless but cute halloween makeup kit and I assume there are stencils in there somewhere.  I don't want to open it due to obvious paint leaking inside.  Don't trust manufacturing",human,negative,negative,0.9982384443283081
distilbert_sst2,human,"Great all natural ear swabs!. I really like these ear swabs. First they come in a large, handy box and are easy to store (will last a long time). Second, they are all organic and good for the environment. Third, they are strong and don't fall apart very easily. I highly recommend these over Q-Tips (which I have used for years).",human,positive,positive,0.9996175765991211
distilbert_sst2,human,Ineffective. A total waste of money.  I get better results using a tea bag to alleviate under eye swelling.,human,negative,negative,0.9998095631599426
distilbert_sst2,human,Synthetic feeling. Felt synthetic,human,negative,negative,0.9991347193717957
distilbert_sst2,human,"Great combo pack. Wish I had been using this years ago!. I love this combo package, particularly the flosser. This makes a great gift package for someone you love, giving them everything they need to keep their mouth/gum health optimal. I have had issues (particularly gums) for the past 5 years. No ones fault but my own for not taking care of my mouth the way I should have all these years. This flosser is great. I fill it with Act Restoring mouthwash and use it after brushing. It amazes me how much stuff this flosser removes with a simple puff of air. Of course, you can purchase both these items separately, but you save in getting them together. Sonicare  makes the best tooth/gum care products on the market bar none!",human,positive,positive,0.9992813467979431
distilbert_sst2,human,Nice colors and dries fast. Haven’t worn it very long yet so can’t comment on longevity but looks great and dried pretty fast.,human,positive,positive,0.9996035695075989
distilbert_sst2,human,"Nice shampoo for the money. I get Keratin treatments at the salon at least 3-4 times a year (would do it more often if I could afford it). I am always in the market to use products that can help extend my salon visits. This Keratin shampoo is really nice. It is sulfate free (which is the first thing I look for ) and makes my hair feel silky smooth and soft. I highly recommend for anyone who wants to improve the texture and appearance of your hair. I really like the fragrance, too.",human,positive,positive,0.999636173248291
distilbert_sst2,human,One Star. it's missing bristles and it's splintered on the back! i found one at target for $5.,human,negative,negative,0.9996472597122192
distilbert_sst2,human,"Handy. Great for many tasks.  I purchased these for makeup removal.  No makeup on your washcloths.  Disposable, so great for travel.  Soft.  Absorbant.",human,positive,positive,0.9439441561698914
distilbert_sst2,human,My hair is falling out!  DON’T get it!. Don’t get it!  My hair is falling out!  PLEASE google and research these products!  My hair has been falling out from the roots for 4 weeks now!  I’ve lost about a third of my hair so far and it’s still falling out!!!,human,negative,negative,0.9995943903923035
distilbert_sst2,human,"Nice and natural. Very natural, light weight and good quality. I use on brides who are not use to lashes but still want a bit of length and definition.",human,positive,positive,0.9998455047607422
distilbert_sst2,human,"WAIT AND CHECK REVIEWS. Don't waste your money,I  have power cord issues all the time and it continously stops on me.<br />I would not recommend this for beginners because I find it to be very frustrating.<br />This product needs a lot of improvement. I'm buying a new today from another company...",human,negative,negative,0.9967867136001587
distilbert_sst2,human,Exactly as described super kawaii!. I really love this blush it's super cute ultra kawaii and I personally am a fan of the changing pictures that it comes with so it's awesome I guess I just wished it was eyeshadow instead the sailor moon one is also cute but too expensive in my opinion and the blush is not a big deal but this item is more like collection stuff but it's really worth it if you want a cute gift or just something really cute to stare at :) /play with for a bit.,human,positive,positive,0.9994379878044128
distilbert_sst2,human,"Not for thick hair. I have very thick hair and when these arrived I attempted to use it to finish a bun. Nope. Thick hair weighs a LOT and this bird nest hair clip just adds more weight and since my bun isn't on top of my head, the clip's weight pushes my bun off the back of my head. I had high hopes for these cute clips, but unfortunately they are a no go for me. I've donated them to my local women's shelter.",human,negative,negative,0.9910426139831543
distilbert_sst2,human,"I like the angle of this dermaplaning blade. I do like the angle of this dermaplaning blade, other than that, it's basically a razor.  It preforms just like any other razor blade other than the way you hold it.  I can't say it's something special due to this.  The cleaning brush is great and needs to be used since the hair stays in the blades.",human,positive,negative,0.5589799284934998
distilbert_sst2,human,"Great for sensitive skin!. I'm loving this!<br />I've been looking for a great serum for fine lines and have tried many. However my skin can be very sensitive so with many that I've tried, I've found that I wake up with puffier than usual eyes and some have even caused significant flaky dryness. Not this one! Have used nightly for a few weeks now and absolutely no issues. Absorbs quickly, nor burning.",human,positive,positive,0.9967436790466309
distilbert_sst2,human,So cute. Super cute and great value!,human,positive,positive,0.9998856782913208
distilbert_sst2,human,"Not totally easy clean brush & tines do not pull through all the way. I used this on my three long-haired cats and it picked up some hair. Since the surface area of the brush is small, there is not much hair that is picked up compared to other brushes. Also, I tried several of these types of brushes and this one is not as easy to clean as the others. The way this is supposed to work is to retract the bristles with the button and the hair that remains on top can be slid off. Since the tines do not retract fully on the top part of the brush, the hair does not slide off easily. Instead, I have to pick it off.<br /><br />Note that this is for long-haired pets only; I would not use this with a pet with short hair. I have three long-haired cats and even though this works some, I am not impressed for the two reasons I mentioned above. My favorite brush like this is [[ASIN:B09RH8FMMS this one]].<br /><br />The current price of $20.99 is outrageous for this as it is about $10 to $12 more than others of better or similar quality.",human,negative,negative,0.9977179765701294
distilbert_sst2,human,Nice gift for a friend. Wife gave them to a friend,human,positive,positive,0.9998170733451843
distilbert_sst2,human,Pretty headband but it is too slinky to stay put in my hair. I thought I would love this headband. It is gorgeous and feels great but the material it is made of is so slippery that it keeps sliding off my hair. It is only for this reason I rated this 2 stars as it is not for me.,human,negative,negative,0.9527774453163147
distilbert_sst2,human,"I recommend this product to other customers. I've worn this for 3 days, I'm a little disappointed the black paint had already started to chip off.",human,negative,negative,0.9972544312477112
distilbert_sst2,human,"Doesn’t freeze well. There is no plug for the water to help freeze instead of leaking out, not freezing well!",human,negative,negative,0.9989595413208008
distilbert_sst2,human,Not so great. Just nail polish despite numerous attempts just will not put the cat by Design on in anything that is almost so faded you cannot forget it cannot be blamed on the magnets because I have probably close to 25 magnets and I have run into the same problem with all of them follow the instructions to a T and it's always very very faded,human,negative,negative,0.9995201826095581
distilbert_sst2,human,"Did the job and looked great. Loved it. The words worked out fine but the single pins broke right out of the package, so I threw them out, but I didn’t buy these for the single pins.",human,positive,negative,0.9267084002494812
distilbert_sst2,human,Not 100% sure how safe it is particularly for damaged feet.. Had originally planned on using this for my feet but given I have some cracks it mentioned not to use on cracked or hurt feet because it could sting and other similar side effects. I am not sure whether to use this product or not because it also mentioned that it is possible that it will sting whether or not you have cracks on your feet or anything similar. I am a little worried if I should use this at all. I am gifting this away because I do not want to hurt my feet. I hope it helps someone else.,human,positive,negative,0.9762768149375916
distilbert_sst2,human,"Absolutely beautiful. These diamond are absolutely beautiful and shine so well. Not cheesy like some of the colored diamonds can, does not look like cheap plastic at all.<br />I would definitely buy again.<br />Follow me on Instagram @theenailgame",human,positive,positive,0.9997417330741882
distilbert_sst2,human,"Not The Right Mud Mask For Me. The directions on the tube of FRESHME's mud mask (pelargonium graveolens) state  those with sensitive skin should use the mud mask once a week. Because I have  sensitive skin that's precisely what  I did.  I also followed the directions that state the mask should be used after bathing or after warming the skin with a towel for 5 minutes.  Perhaps my skin is just too sensitive because I really didn't notice much of a  difference after using this mud mask.  Its on the light, watery side so its easy to apply and doesn't take much to cover my face.  In the 15 minutes it sits on my skin (10-15 recommended per directions) it never entirely dries and I don't experience the feeling of skin tightening at all.  After I rinse it off (it rinses without issue), my skin feels clean but a bit dry. I cannot detect any change to my pores.  This just isn't the mud mask for me. I've discontinued using it and will be giving the rest to my niece over the holidays. My review will be updated if she has better results than I.<br /><br />--photo #1-taken right after I put some mask on my hand<br />--photo#2-taken after mask sat on my hand for 15 minutes (doesn't dry entirely)",human,negative,negative,0.9986274242401123
distilbert_sst2,human,"Such a nice spray mist. This spray smells amazing, it does claim to be completely natural so I am wondering if it really is since the smell is very well... processed in my opinion, that being said, it does look completely natural it's completely transparent and once you apply it it doesn't feel as sticky as other products I've used before it really gives the hair a very natural look and for having just applied it a few minutes ago my hair feels extremely soft to the touch which gives me a pretty good idea that this is a good hair spray. The presentation is really pretty and looks cute and clean as well. I love it! I just hope it works well in the long run! The only problem I had (completely unrelated to the spray itself) is that they left it at my neighbors door instead.",human,positive,positive,0.9970996379852295
distilbert_sst2,human,"Flexible plastic garbage with pick ends like scaled down hammer claws. This pick is absolutely terrible. It is made of flexible plastic that is easily breakable and the pick ends are so thick, they are like scaled down hammer claws that do nothing to scrap the teeth. It went right in the trash.",human,negative,negative,0.995768666267395
distilbert_sst2,human,Don’t bother. Normally I like NYX products but not this one. It leaves a funny coating on your eyebrows and pushes them down so much they look thinner than they are.<br />Not worth it.,human,negative,negative,0.9993727803230286
distilbert_sst2,human,Two Stars. when I applied a little pressure the wheel stopped spinning. Not enough power.,human,negative,negative,0.999763548374176
distilbert_sst2,human,"Doing the job!. Very surprised! I am please with first round on my black, dyed hair. Turned a dark brown! Second round in a couple of days. (Suggest a leave in hair oil from scalp to roots for before and after use) hair is soft after use. Has an odor, but not overwhelming if you cover with disposable hair cap. Easy to use.",human,positive,positive,0.5896167755126953
distilbert_sst2,human,Not as good as before. OK at best.  The teeth bend and break in my pocket.  That never happened with previous Ace combs.  They're making them cheaper.,human,negative,negative,0.9965218305587769
distilbert_sst2,human,"Not what I paid for. The wig in the picture is not the wig i received. It's lighter in color, part is on the side not in the middle and does not lay right.",human,negative,negative,0.9995172023773193
distilbert_sst2,human,LOVE these!!!. I bought a pack of these and loved themso much I immediately bought another pack. They are perfect all around and the price is great!,human,positive,positive,0.9998832941055298
distilbert_sst2,human,"QUICK RAIN PROTECTION. Rrain hats are really handy when<br />one doesn't have an umbrella, and<br />easy to carry in a purse or pocket.",human,positive,negative,0.6961838603019714
distilbert_sst2,human,"Works great but smells a little weird.. This product does what I need it to do, I just wish it was odorless or had a soft coconut smell. Having my head smell like an orange coffee is offputting. (granted, I did know the smell was described but I was hoping it would be light)",human,positive,negative,0.9990283250808716
distilbert_sst2,human,"Item does what it's supposed to do. This mask support works great.  It does what it's supposed to do. It keeps your mask off of your mouth and nose, allowing more airflow.  You mouth and nose are still covered, but the fabric isn't right up against your face.",human,positive,positive,0.5464072823524475
distilbert_sst2,human,not what it claims to do. nothing special  unfortunately i waited too long to return them ....  no results at all  dont waste your money,human,negative,negative,0.9994284510612488
distilbert_sst2,human,"Yes!. Smells good, feels great!",human,positive,positive,0.9998687505722046
distilbert_sst2,human,"I'll stick to my 5 blade razor.. I think I need to stick with my 5 blade razor. This razor is not only difficult to hold & is made of a hard slick plastic with no grippers, but doesn't shave as well as my 5 blade razor. The style is nice, but the functionality is not.",human,negative,negative,0.9909083247184753
distilbert_sst2,human,Not happy. 20 minutes of fragrance nothing more. $30 plus dollars for this!! I wanted Donna Karen cashmere mist but the shipping took too long. Wish now I would've waited.  It does nothing for sweat absolutely nothing!!  It's so small too.,human,negative,negative,0.9960197806358337
distilbert_sst2,human,Do not waste time or money. This is a joke. They do not work. Do not waste time or money.,human,negative,positive,0.8756872415542603
distilbert_sst2,human,"Has a spicy aroma; leaves my hair nourished and enhanced my curls (see update). This shampoo and conditioner travel-size duo (2 ounces each bottle) has a spicy aroma that is neither pleasant nor offensive but not my favorite smell.  The shampoo produces a medium lather and cleans well. The conditioner is creamy and conditions well. When my hair dried, it had a sheen to it and was well nourished and my curls were enhanced.<br /><br />The current price of $14 for this set is expensive. If this had an intoxicating fragrance I liked and was more reasonably priced, I would have loved it. However, this is not a set I would buy at this price.<br /><br />Note that I get about four uses to this set for my short to medium hair.<br /><br />UPDATE 9/22/20 - This only lasted me three uses. However, I had such trouble getting both the remaining shampoo and conditioner (particularly the conditioner) out of the bottle. They need to change this to a squeeze tube. I actually had to fill the bottle with water several times to dislodge the remaining ingredients. Also, the conditioner makes the floor of the shower or tub very slippery (almost as if I put Pledge on a floor).  Based on this, I lowered my ranking from 4 to 2 stars.",human,negative,negative,0.6345522403717041
distilbert_sst2,human,"Not what was advertised. It was not at all what I thought was advertised! I was expecting a tinted lotion! As a plain lotion, it’s still doesn’t get any stars! It’s very thin and runny! Sorry Joan!",human,negative,negative,0.9997872710227966
distilbert_sst2,human,Doesn’t look natural.. It looks awkward when put on your head and it’s a lot shorter and curlier than it’s advertised. You also have to style it yourself.,human,negative,negative,0.9964046478271484
distilbert_sst2,human,nice sized !. i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !,human,positive,negative,0.9538544416427612
distilbert_sst2,human,"cheap stuff... bumpy surface, paint is .... cheap stuff... bumpy surface, paint is chipping off after one use. It's not worth printing a return label, or a drive to ups.",human,negative,negative,0.9998064637184143
distilbert_sst2,human,"Pale orange color turns to light pink w/body heat but this is like expensive lip balm. I ordered the orange color. It is very pale and looks attractive in the tube. However, once worn it changed to a light pink on my lips. The moisturizing effects lasted a couple of hours but I personally did not like the look of the resulting color on my lips. Also, at the current price of $18.98, this is very expensive lip balm. Nivea makes colored lip balm that does not change color--so one knows what color they are getting. That lip balm works just as well and is a lot cheaper than this.",human,negative,positive,0.9575594663619995
distilbert_sst2,human,"Wonderful overnight cream!. To be honest, I rarely have used an overnight cream. Typically, my skin care routine is the same morning and night (wash, apply hyalauronic serum, and some kind of moistutrizer). So, when I saw this Iryasa cream I wanted to try it. Easy to apply, you can immediately feel the moisture starting to work. I do apply this about 30 minutes before I actually go to sleep to allow it time to be absorbed (before putting my face on my pillow) as it is a thicker type of cream and needs time. My skin in the morning feels better than ever. Soft and supple, I definitely feel a difference after using this for over 2 weeks now. I highly recommend this cream for women and men.",human,positive,positive,0.9976934790611267
distilbert_sst2,human,"Band too wide. The lashed are pretty but the band is too wide, it covers too much of the eyelid. Also the way it's packaged makes it difficult to remove from plastic casing and tears the lash strip.",human,negative,negative,0.9988007545471191
distilbert_sst2,human,Not sure what this is but it's rough. This is rough on the skin.  I don't like it.  Not sure what it's supposed to do.,human,negative,negative,0.9989264607429504
distilbert_sst2,ai,The product made my hair stiff and crunchy. It was hard to brush out later.,ai,negative,negative,0.9722994565963745
distilbert_sst2,ai,This lip balm wore off quickly and did not help with chapped lips. I had to reapply constantly.,ai,negative,negative,0.9759638905525208
distilbert_sst2,ai,This product did not fit into my routine because it took too long to dry. The results were not worth it.,ai,negative,negative,0.9998027682304382
